ori,des,path,len,time_step
400,392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,18,0
235,306,235_246_34_33_31_357_40_50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,22,0
235,325,235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,16,0
367,258,367_400_287_200_208_145_146_148_227_151_152_153_155_163_258,15,0
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,0
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,0
233,325,233_234_200_208_145_146_148_227_151_152_153_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,35,0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,0
233,306,233_235_246_34_33_31_357_40_50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,23,0
212,158,212_153_156_157_176_177_189_191_193_180_315_185_179_418_252_334_158,17,0
344,4,344_168_374_156_157_176_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,22,0
176,392,176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_392,17,0
376,392,376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,17,0
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,0
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,0
198,391,198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,15,0
213,392,213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,15,0
288,392,288_213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,16,0
208,392,208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,15,0
176,325,176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,22,0
189,88,189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,18,0
369,242,369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,16,0
231,246,231_198_196_195_180_315_184_183_177_189_190_211_202_235_246,15,0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,0
344,399,344_168_374_156_157_176_177_189_190_211_202_235_245_238_399,15,0
344,242,344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,16,0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,0
344,240,344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,15,0
344,241,344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,15,0
169,240,169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,0
168,242,168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,15,0
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,17,0
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,17,0
233,51,233_234_200_208_145_146_148_227_151_152_153_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,31,0
219,392,219_288_213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,17,0
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,15,0
206,391,206_196_195_180_315_185_179_418_251_164_174_159_167_166_391,15,0
390,241,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,16,0
