ori,des,path,len,time_step
400,392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,18,10
400,392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,18,10
400,392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,18,10
287,391,287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,17,10
176,51,176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,18,10
91,207,91_85_314_347_83_77_75_310_237_233_235_246_34_33_30_236_376_231_199_216_207,21,10
52,253,52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_173_257_253,23,10
176,392,176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_392,17,10
30,392,30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,10
248,392,248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,20,10
248,392,248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,20,10
248,392,248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,20,10
248,392,248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,20,10
351,392,351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,21,10
236,391,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,18,10
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,10
360,183,360_0_366_351_248_30_236_376_231_198_196_195_180_315_184_183,16,10
366,391,366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,22,10
326,392,326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,30,10
21,392,21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,26,10
34,391,34_33_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,21,10
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,10
310,392,310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,10
75,258,75_310_236_376_231_198_196_195_180_315_185_179_418_251_163_258,16,10
15,417,15_34_33_30_236_376_231_198_196_195_180_315_185_179_417,15,10
15,392,15_34_33_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,22,10
366,392,366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,22,10
91,8,91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,20,10
40,8,40_49_364_46_41_378_381_352_1_127_408_71_26_341_8,15,10
376,391,376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,17,10
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,10
376,392,376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,17,10
400,325,400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,18,10
202,325,202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,17,10
400,325,400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,18,10
235,325,235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,16,10
246,325,246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,15,10
246,325,246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,15,10
400,306,400_286_235_246_34_33_31_357_40_50_19_24_349_313_79_81_117_301_382_275_273_372_306,23,10
400,325,400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,18,10
286,325,286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,17,10
105,324,105_112_114_116_278_275_274_308_386_397_385_90_89_281_324,15,10
30,257,30_236_376_231_198_196_195_180_315_185_179_418_251_164_173_257,16,10
48,4,48_45_43_37_39_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,20,10
52,4,52_360_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,20,10
30,392,30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,10
30,392,30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,10
30,392,30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,10
280,4,280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,24,10
280,4,280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,24,10
280,4,280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,24,10
75,4,75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,15,10
211,325,211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,18,10
211,325,211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,18,10
211,325,211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,18,10
189,51,189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,16,10
326,240,326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,18,10
237,258,237_233_234_200_208_145_146_148_227_151_152_153_155_163_258,15,10
326,33,326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_153_156_157_176_177_189_190_211_202_235_246_34_33,36,10
400,392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,18,10
400,391,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,18,10
176,88,176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,20,10
195,242,195_180_315_184_183_177_189_190_211_202_235_245_239_241_242,15,10
148,306,148_227_151_152_153_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_21_84_80_118_124_116_278_275_273_372_306,35,10
246,306,246_34_33_31_357_40_50_19_24_349_313_79_81_117_301_382_275_273_372_306,20,10
246,325,246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,15,10
50,306,50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,15,10
355,306,355_19_24_349_313_79_80_118_124_116_278_275_273_372_306,15,10
245,392,245_238_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,20,10
91,4,91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,21,10
85,4,85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,20,10
331,392,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,26,10
324,240,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,19,10
176,23,176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23,16,10
48,392,48_45_43_38_36_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,25,10
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80_118_124_116_278_275_273_372_306,28,10
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,10
395,325,395_7_340_27_72_409_365_362_358_380_377_42_47_355_20_23_73_22_329_89_281_325,22,10
300,392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,16,10
324,240,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,19,10
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,10
78,8,78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,15,10
176,51,176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,18,10
176,281,176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281,21,10
55,392,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,28,10
176,325,176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,22,10
324,147,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_147,20,10
324,32,324_326_280_397_385_91_85_314_347_83_77_75_310_237_232_32,16,10
